profileId,title,competencies,hasGrowWithSap,consultants,description
0000953448,Windhoff Group,1,0,40,Führende IT-Beratung mit exklusivem Fokus auf SAP Data & Analytics
0001233197,MAWAI INFOTECH LTD,1,0,7,"Mawai, Winner of SAP ACE Award 2018,2019& 2020 is SAP Gold Partner"
0001409171,HR Strategies Consulting USA Inc.,1,0,52,"Uniting HR & Technology: 
Re-Imagining & Transforming the HR Approach"
0000832647,Megawork Consultoria e Sistemas Ltda,2,0,36,"+ de 32 anos de mercado, somos especializados em soluções para gestão"
0001327055,Nitor,1,0,24,Procurement & Supply Chain Reimagined.
0001585825,"I GROW HUMAN INNOVATION CONSULTING, S.A. DE C.V.",1,0,51,Transformamos a RR.HH. en el corazón de la estrategia del negocio.
0001778194,Digital Business IT Systems Co(DBS),3,0,35,"Your Potential, Our Passion"
0000030189,Birchman Solutions Ltd,3,1,33,SAP Platinum Partner and winner of  SAP Pinnacle Award for S/4HANA
0001841276,BlatoRH Group,1,0,15,Calidad en Servicios Profesionales avalan nuestra trayectoria
0001740096,SouthEnd Tecnologia da Informacao Ltda,1,0,3,Líderes na implementação e manutenção da plataforma SAP Ariba. 
0000473441,Convista Consulting AG,5,0,153,Ihr Partner für Transformation
0002301317,Motiveminds Consulting Pvt Ltd,5,1,69,Empowering mid-market companies to thrive in the digital age
0000681243,Aspire HR LLC,2,0,62,"We simplify, derisk, and accelerate SuccessFactors implementations"
0002012658,INK IT Solutions and Consulting,1,0,33,Business transformation through Digital framework
0002033197,A Lab2dev,1,0,27,Focados em inovação através do SAP BTP
0002411836,Samishti Infotech Private Limited,2,0,5,SAMISHTI is your Go-To partner when you think Innovation with SAP.
0000282317,CONET Business Consultants GmbH,3,0,138,"SAP-Beratung mit System – professionell, strategisch, mittelständisch"
0000866486,"AMT - CONSULTING, S.A.",2,0,77,AMT is a prefered SAP Cloud Service Company
0001427259,Doosan Digital Innovation,2,0,45,"Professional Service Provider for Successfactors, Concur, Ariba"
0002885017,"ArchLynk, LLC.",3,0,34,Digital Supply Chain & Global Trade Specialists Process/Implementation
0001241412,GoSCM,1,0,18,GoSCM | Real Experience and Excellence in SAP Supply Chain Management
0001715527,Meta Serviços em Informática S/A,2,0,14,"Digital. Simple. Human.
Human Growth with Tecnology."
0001726394,"Round Two Solutions Co., Ltd.",2,0,9,Helping clients to transform to Intelligent Enterprise
0001879468,Analysis Prime Inc.,1,0,9,The Planning and Analytics Experts 
0001418558,McCoy & Partners B.V.,7,1,185,McCoy. More than IT
0000028526,"Samsung SDS Co., Ltd.",1,0,68,Empower your business with Smart ERP
0000751334,metafinanz Informationssysteme GmbH,2,0,31,We shine a new light on future viability
0001388259,FOCALITY,3,0,117,Focality is one of the most relevant Romanian IT integrator company.
0001324305,Phoenix Business Inc. (DBA Phoenix Business Consulting),3,0,88,"Driven by Excellence, Powered by Trust, Over 25 years of Success."
0001175860,BXTi,2,0,11,Somos Gold Partner de SAP y expertos en S/4HANA
0002532332,Globant,5,0,529,Accelerating value for enterprise-wide reinvention
0001634786,TeamWork,5,0,250,"A major player in consulting, technological integration and innovation"
0001233218,"I AM Consulting Co.,Ltd.",3,0,148,I AM Consulting : Your Best SAP Partner 
0000032977,cronos Unternehmensberatung GmbH,2,0,133,IT experts for Utilities
0000026470,Ctac,4,1,95,Ctac helps its customers to realize their ambitions! 
0000614725,NEORIS,3,0,84,NEORIS acelerador digital ayuda a las empresas a entrar en el futuro.
0000510804,Sariba AS,2,0,76,Ledere og medarbeidere som får til mer
0001689347,Arete Global Company,3,0,41,Digital transformation choice to Empower your Intelligent Enterprise
0000862043,SOA PEOPLE,6,0,405,Leading European Partner specialised in SAP and add on software
0001123593,Hicron Sp. z o.o.,4,0,169,"We are Hicron.
Vision Architect - Solution Maker
"
0001521064,SIDI Group,3,1,84,"Together Future Happens, here at SIDI! VAR GOLD PARTNER since 1 997
"
0000614852,Rivercon.com S.A.C.,2,0,37,Lo acompañamos camino hacia la empresa inteligente
0001562639,IXERV GLOBAL DMCC,1,0,29,Providing HXM Solutions That Unleash Your People Potential
0001408886,Jigsaw Cloud,1,0,25,We're an award-winning SAP SuccessFactors partner.
0001192443,Crescense LLC,1,0,7,"A reseller in Life Sciences, Consumer Products, Retail, and Wholesale"
0002690501,T4S Advance Solutions SL,5,0,173,Smart Technology for SAP. Consulting 2.0
0001280363,Argano,4,0,107,Digital Core ERP & Supply Chain Transformation
0001639356,SAVIC Technologies Private Limited,3,0,102,SAP's Platinum Partner and a global implementation service provider
0000980279,DynaSys Solutions Limited,3,0,83,The Sole SAP Platinum Partner in HK. Global Network ‧ Trusted Partner.
0000383292,CODILOG - ELIANCE,5,0,72,"Expert SAP de tous vos projets (intégration, conversion S/4, TMA, DVA)"
0001964184,Anda S.r.l.,4,0,53,Anda is an SAP gold partner for the entire SAP solution portfolio.
0001624743,"Suzhou GaiaWorks IT Co., Ltd.",2,0,26,"A Great workforce, Gaia Works."
0000300277,VAR BMS SPA,2,0,68,Siamo SAP Gold Partner e Var Group company
0000684898,HR Solutions S.A.S.,2,0,50,"La tecnología lo hace posible, las personas hacen que suceda"
0002324122,mmmake GmbH,2,0,39,Guiding you on your path into the digital future of HR management!
0000734701,Innflow AG,3,1,70,"Experten für Implementierung, Optimierung und Betrieb von SAP-Lösungen"
0001644285,Bluetree Solutions Pty Ltd,1,0,35,The Award Winning Consultancy for Planning & Analytics in the Cloud
0002697355,NUVA HR,1,0,27,We inspire great people to build great companies
0000715105,"Corponet Implements, S.A. de C.V.",1,0,25,En Corponet nos enorgullece transformar empresas desde hace 20 años
